Element Symbol,Element Name,Discovery Year,Atomic Number,Atomic_Mass,Electron Configuration,Common Isotopes,State,Melting_Point,Melting Point (°F),Melting Point (K),Boiling_Point,Density,Color/Appearance,Conductivity,Hardness/Malleability,Reactivity,Electronegativity,Ionization_Energy,Valency,Oxidation States,Atomic_Radius,Metallic_Character,Radioactivity,Nuclear Stability,Half-Life,Magnetism Type,Magnetic Susceptibility,Emission/Absorption Spectra,Spectral Lines,Biological Role,Environmental Behavior,Allotropes,symmetry,volume,Compounds,is_metal
Y,Yttrium,1794,39,88.906,[Kr] 4d¹5s²,Y-89,solid,1526.0,2778.8,1799.15,3345.0,4.472,Silvery-white,High,Ductile,Moderate,1.22,6.217,3,3,190.0,Transition metal,Unknown,Stable,Unknown,Paramagnetic,+2.1×10⁻⁴ cm³/mol,Red lines,410.2 nm,Superconductors,Low solubility,Unknown,P6_3/mmc,67.55562608311241,"['YCo', 'YSe2', 'YMg15', 'YU3', 'YIr3', 'YAu2', 'YNi3', 'YMg2', 'YO3', 'YTc2', 'CsY', 'YC', 'YSi3', 'YCu', 'Ba3Y', 'YTl3', 'YIn', 'YPd3', 'YCl', 'YPu3', 'YLu3', 'YB4', 'YHo3', 'YFe3', 'YB2', 'Yb3Y', 'Pr3Y', 'YTl', 'YGa3', 'YMn2', 'Nd3Y', 'YPd2', 'YAs', 'YBr3', 'YGe2', 'YZn2', 'YC2', 'YRu2', 'LaY', 'YB6', 'Y', 'YSb2', 'YCd', 'K3Y', 'YZn12', 'Tb3Y', 'YZn', 'YMg7', 'YEr', 'YCu2', 'Gd3Y', 'Sm3Y', 'YGa2', 'YMg', 'YSn3', 'YIr', 'YTe2', 'YHo', 'Li3Y', 'YSi2', 'YCo3', 'YFe2', 'Pr2Y', 'YAs3', 'YRh', 'Ac3Y', 'YAg', 'YAu', 'YTi', 'KY', 'PrY', 'YOs2', 'Pm3Y', 'YMg3', 'YRu3', 'YNi5', 'YSb', 'SrY', 'YFe12', 'YI3', 'YCu5', 'YMn12', 'YHg3', 'YAl', 'YP', 'YAl3', 'YFe5', 'YBr2', 'YOs3', 'YF3', 'YTe', 'YH3', 'YN', 'YTm3', 'YGa6', 'Ca3Y', 'YTh', 'Ce3Y', 'YRe2', 'YO', 'YPb3', 'YIn3', 'YSi', 'YP5', 'YPt3', 'YS', 'YO2', 'Dy3Y', 'Nd2Y', 'YBi3', 'YCl3', 'YMg149', 'YSc', 'Rb3Y', 'YHg2', 'YEr3', 'YCd2', 'YSn', 'YAg3', 'YMg5', 'CeY', 'YCo5', 'YZr', 'YNp3', 'YRh3', 'YRh5', 'Eu3Y', 'YI', 'YHg', 'PmY', 'YZn5', 'YAg2']",Metal
Zr,Zirconium,1789,40,91.224,[Kr] 4d²5s²,Zr-90;Zr-94,solid,1855.0,3371,2128.15,4409.0,6.52,Silvery-white,High,Ductile,Low,1.33,6.634,4,4,160.0,Transition metal,Low (Zr-93),Stable,Unknown,Paramagnetic,+1.1×10⁻⁴ cm³/mol,Blue-white,360.1 nm,Nuclear cladding,Corrosion-resistant,"α (hcp), β (bcc)",P6_3/mmc,46.99931887465835,"['GdZr', 'ZrSb3', 'K3Zr', 'ZrN2', 'ZrI2', 'ZrIr', 'K2Zr', 'ZrSb', 'Pm3Zr', 'ZrPt8', 'ZrNi5', 'ZrAl2', 'PuZr', 'ZrCu', 'ZrCd', 'ErZr', 'ZrBr', 'ZrAu2', 'ZrMn2', 'ZrTc2', 'ZrRu2', 'ZrHg', 'Ac3Zr', 'ZrIr3', 'La3Zr', 'ZrPt3', 'ZrH', 'Dy3Zr', 'ZrN', 'ZrAu', 'Rb3Zr', 'ZrSn', 'ZrSe', 'ZrO2', 'ZrF4', 'ZrFe2', 'ZrSn3', 'ZrBr2', 'ZrMn3', 'ZrTi3', 'ZrCr2', 'DyZr', 'ZrH2', 'ZrPd2', 'ZrBe5', 'ZrPd', 'ZrPd3', 'ZrI3', 'HfZr', 'Pr3Zr', 'ZrIn2', 'ZrO', 'ZrOs2', 'ZrSe3', 'Mg15Zr', 'ZrCu5', 'ZrCd3', 'ZrSc2', 'ZrS2', 'Pu3Zr', 'ZrRu3', 'ZrSe2', 'ZrGa', 'ZrP3', 'Eu3Zr', 'ZrB2', 'ZrTi', 'ZrPt', 'ZrNi3', 'ZrTe3', 'ZrCo3', 'SmZr', 'ZrZn3', 'ZrTe2', 'ZrOs3', 'MgZr', 'Mg3Zr', 'ZrNp3', 'TmZr', 'ZrTi2', 'Sm3Zr', 'ZrCl', 'ZrAl3', 'ZrSc', 'ZrIn', 'TbZr', 'HoZr', 'ZrAs', 'Mg149Zr', 'ZrC', 'ZrRu', 'Tb3Zr', 'ZrBr3', 'NdZr', 'ZrAg2', 'ZrTe', 'ZrS3', 'ZrBe2', 'ZrRe2', 'ZrB6', 'ZrBr4', 'PmZr', 'ZrCl3', 'ZrCu3', 'ZrIn3', 'Yb3Zr', 'Na3Zr', 'ZrRh', 'ZrCl4', 'Sr3Zr', 'LuZr', 'ZrS', 'ZrHg3', 'ZrP', 'ZrCl2', 'ZrU3', 'Ho3Zr', 'ZrSi', 'ZrB', 'ZrOs', 'Zr', 'ZrV2', 'YZr', 'Mg7Zr', 'Nd3Zr', 'ZrI4', 'ZrAg', 'ZrGa3', 'ZrPb']",Metal
Nb,Niobium,1801,41,92.906,[Kr] 4d⁴5s¹,Nb-93,solid,2477.0,4490.6,2750.15,4744.0,8.57,Gray metallic,High,Ductile,Low,1.6,6.759,5,+5;+3,146.0,Transition metal,Low (Nb-92),Stable,Unknown,Paramagnetic,+2.1×10⁻⁴ cm³/mol,Violet,405.9 nm,Superconductors,Low solubility,Unknown,Im-3m,18.258066615716924,"['Be2Nb', 'NbSe3', 'NbS2', 'NbC', 'NbTe4', 'Ti3Nb', 'ScNb', 'K3Nb', 'NbP', 'Na3Nb', 'Sr3Nb', 'NbPd', 'NbPt4', 'NbCr2', 'NbRh2', 'Be12Nb', 'NbNi', 'NbH2', 'Rb3Nb', 'U3Nb', 'Mg149Nb', 'NbH4', 'NbPt3', 'NbCo2', 'NbB2', 'NbRh3', 'NbZn3', 'NbH', 'NbI3', 'Be3Nb', 'NbAu2', 'NbO2', 'NbO', 'NbBr4', 'Ac3Nb', 'NbFe2', 'NbBr5', 'NbSb', 'NbGe2', 'NbTe', 'NbFe', 'NbCo3', 'NbOs3', 'NbAs', 'Pa3Nb', 'NbF3', 'La3Nb', 'Mg15Nb', 'NbAs3', 'NbCd3', 'NbI4', 'NbRh', 'NbAs2', 'NbGa3', 'NbF4', 'NbRu3', 'NbIr', 'Mg3Nb', 'NbI5', 'Mg7Nb', 'NbN', 'NbSb2', 'Eu3Nb', 'NbCo', 'NbCl5', 'NbPd4', 'Pr3Nb', 'NbS3', 'NbFe3', 'NbZn2', 'NbPt2', 'Ba3Nb', 'NbS', 'NbCl4', 'NbSe2', 'NbRu', 'NbCr3', 'NbTe2', 'Yb3Nb', 'NbO3', 'NbAl3', 'Nb', 'NbSe4', 'Li3Nb', 'NbPd3', 'Mn2Nb', 'NbP2', 'NbNi3', 'Th3Nb', 'NbNi2', 'NbIr3', 'Sc3Nb', 'NbAu4', 'NbSn3', 'NbF5', 'NbSi2']",Metal
Mo,Molybdenum,1778,42,95.95,[Kr] 4d⁵5s¹,Mo-96;Mo-95,solid,2623.0,4753.4,2896.15,4639.0,10.28,Gray metallic,High,Hard,Low,2.16,7.092,"4,6",+6;+4,139.0,Transition metal,Low (Mo-99),Stable,Mo-99: 66 h,Paramagnetic,+1.2×10⁻⁴ cm³/mol,Green,379.8 nm,"Steel alloy, enzymes",Low solubility,Unknown,Im-3m,15.89162790660502,"['MoP3', 'TeMo', 'Zn6Mo', 'MoSe', 'MoF4', 'MoCl4', 'MoRh3', 'MoPb', 'Si3Mo', 'Yb3Mo', 'MoO2', 'Be13Mo', 'Fe2Mo', 'MoCl5', 'Al12Mo', 'K3Mo', 'Ge2Mo', 'Sn2Mo', 'Eu3Mo', 'MoPb3', 'MoPt', 'Fe3Mo', 'Li3Mo', 'MoF6', 'Na3Mo', 'MoS3', 'MoF5', 'Sb3Mo', 'MoIr4', 'Al3Mo', 'Mg15Mo', 'MoO5', 'MoBr3', 'Ni3Mo', 'MoIr', 'MoRh', 'Zn7Mo', 'MoO3', 'MoN', 'MoH', 'Th3Mo', 'MoP2', 'B4Mo', 'Te2Mo', 'Ge3Mo', 'MoC', 'V3Mo', 'VMo', 'MoAs2', 'Ba3Mo', 'Si2Mo', 'MoRu3', 'B2Mo', 'CoMo', 'Sr3Mo', 'MoS2', 'Al5Mo', 'Mg149Mo', 'MoPd4', 'BMo', 'UMo', 'Zr4Mo', 'MoPt3', 'MoP', 'MoP4', 'Be22Mo', 'Co3Mo', 'B3Mo', 'Rb2Mo', 'Sn3Mo', 'MoPd3', 'Rb3Mo', 'MoO4', 'MoF3', 'SiMo', 'Tc3Mo', 'Be12Mo', 'Mg7Mo', 'MoIr3', 'Fe4Mo', 'MoI3', 'MoPd', 'Ac3Mo', 'MoSe2', 'MoCl3', 'Mo', 'MoN2', 'MoOs', 'Re3Mo', 'Pa3Mo', 'U2Mo', 'Bi3Mo', 'MoCl6', 'MoRu', 'Be2Mo', 'Hf4Mo', 'Mg3Mo']",Metal
Tc,Technetium,1937,43,98.0,[Kr] 4d⁵5s²,Tc-99;Synthetic,solid,2157.0,3914.6,2430.15,4265.0,11.5,Silvery-gray,High,Ductile,Moderate,1.9,7.28,7,+7;+4,136.0,Transition metal,High,All radioactive,Tc-99: 2.11×10⁵ years,Paramagnetic,+2.6×10⁻⁴ cm³/mol,Blue,429.7 nm,Medical imaging (Tc-99m),Fission product,Unknown,P6_3/mmc,28.503381002021815,"['Hf2ZnTc', 'EuTcO3', 'Hf2TcPd', 'TcNi', 'Eu3Tc', 'K2Tc', 'CoTc', 'Rb2TcCl6', 'TcI4', 'Ta2TcOs', 'Zr2TcNi', 'NbTc', 'BaTcO3', 'Hf2TcNi', 'TcO3F', 'Nb2ReTc', 'Th2CuTc', 'Mg3TcH7', 'K2Tl6Tc', 'TlTcIr2', 'Er2MgTc', 'Ga3Tc', 'Zr2TcRu', 'TaTc', 'SiTc', 'TaTcPb2', 'TcSnO3', 'Ti2FeTc', 'K2TcH9', 'YbTcO3', 'Al3Tc', 'GaTc', 'TcB', 'TcMo', 'Zr2TcIr', 'KTcO2', 'Cs2TcF6', 'Tc(Br3N)2', 'Er2CuTc', 'TlTcO3', 'TcBr3', 'TcSnSe', 'NaTcO3', 'PuTcB2', 'TcAs3', 'TcNiW', 'MnAlTc', 'TcN2', 'SrTcO3', 'Er2TcAg', 'U2Tc', 'HfTc', 'Ti2AlTc', 'TcOF4', 'CuTcBi', 'Ti2MnTc', 'Nb2TcOs', 'LaTcN3', 'Cs2TcCl6', 'TcW2C', 'CaTcN3', 'TcNO2', 'Tc(ClO)6', 'MnTcOs', 'TcPt3', 'Zn7Tc', 'Tc(NCl3)2', 'TcF3', 'Al12Tc', 'TcRh', 'Al2TcPd', 'Tc(NF3)2', 'TcRu', 'CaTaTc', 'Lu2CdTc', 'TcCl3', 'TcBi3O8', 'Nb2TcRu', 'Re3Tc', 'TcAg3', 'TcN', 'Cs2TcI6', 'Zr2FeTc', 'Na3Tc', 'ZnTcMo', 'LiTcO3', 'Mg16Al12Tc', 'Ti2BeTc', 'TcGe3', 'TcW', 'ZrTcCl', 'ReTc', 'Sc2ZnTc', 'NpTcO3', 'TcP3', 'Rb3Tc', 'TcP4', 'Li3Tc', 'Sc2GaTc', 'YTcN3', 'TcIr3', 'Pa3Tc', 'TcIrOs', 'KTcO3', 'Ho2ZnTc', 'Tc(CO)5', 'K2TcCl6', 'Tc', 'UTcO3', 'TcCl4', 'MnTcPd', 'Ho2MgTc', 'Mg3Tc', 'SrTcN3', 'Li2TcO3', 'TcOs3', 'VTc', 'TcF4', 'TiTc', 'CaTcO3', 'Zr2CuTc', 'K2TcI6', 'TcRh3', 'TcBr4', 'Ta2ReTc', 'TcB4', 'Tm2TcAg', 'K2TcBr6', 'TlTcO2', 'Be13Tc', 'TcO2F3', 'Zr2TcOs', 'TcRu3', 'Hf2TcIr', 'Rb2TcI6', 'Hf2CuTc', 'Al6Tc', 'CrTcO3', 'TcF6', 'Sr2TcO4', 'Tc(I3O)2', 'TcIr', 'Nb2Tc', 'TcAgO2', 'Ta2TcRu', 'TcO2', 'Be3Tc', 'MnAl2Tc', 'TcPt', 'Sc3Tc', 'Ti2GaTc', 'Al4Tc', 'Na2TcF6', 'TcS2', 'K2TcF6', 'Zr2TcRh', 'Tc(Br3O)2', 'LiTh2Tc', 'K3Tc', 'TcC', 'BeTcSe', 'Mg149Tc', 'TcB2', 'TlZn2Tc']",Metal
Ru,Ruthenium,1844,44,101.07,[Kr] 4d⁷5s¹,Ru-102;Ru-101,solid,2334.0,4233.2,2607.15,4150.0,12.45,Silvery-white,High,Hard/brittle,Low,2.2,7.361,"3,4,8",+3;+4;+8,134.0,Transition metal,Low (Ru-106),Stable,Ru-106: 1.02 years,Paramagnetic,+1.0×10⁻⁴ cm³/mol,Red,372.8 nm,"Catalyst, jewelry",Low solubility,Unknown,P6_3/mmc,27.10235367049707,"['Y2Ge2Ru', 'Te2Ru', 'Pr4Ru', 'P2Ru', 'Nb3Ru', 'RuF3', 'NiSb6Ru', 'RuO2', 'B2Ru', 'Mo2RuSe4', 'Pr3RuBr3', 'GaRu', 'BRu', 'RuO4', 'KRuN', 'RuF6', 'SbRu', 'SbAsRu', 'Ru(IN3)2', 'Co4Ru', 'Yb2Ru', 'K3Ru', 'V4Ru', 'YbRu', 'Al6Ru', 'Sc3RuC4', 'GeRu', 'Dy3Ru', 'Be3Ru', 'HfRu', 'ThSi3Ru', 'Ni4Ru', 'Y3Ru', 'CrRu', 'CeSi3Ru', 'LuRu', 'TaRu', 'Ba3RuF6', 'Al3Ru', 'Sm4Ru', 'Zn3Ru', 'NiRu', 'Be2Ru', 'Tc3Ru', 'RuF5', 'As2Ru', 'Tb3Ru', 'FeRu', 'K3RuF6', 'RuRh', 'Nd3Ru', 'Ir3Ru', 'ScRu', 'Rb3Ru', 'PRu', 'NdSi3Ru', 'Co3Ru', 'Sb2Ru', 'P3Ru', 'Na3Ru', 'Tm3Ru', 'Y3RuI3', 'RuN', 'Sn3Ru', 'RuC', 'Pu3Ru', 'Ga2Ru', 'Si4P4Ru', 'LaSi2Ru', 'Ce4Ru', 'Th4Ru', 'Mo2Ru', 'Rb3RuF12', 'Er3Ru', 'OsRu', 'Mo4Ru', 'Ho3Ru', 'RuW', 'Ta3Ru', 'RuRh3', 'SiRu', 'RuCl3', 'LaGe3Ru', 'TcRu', 'RuAu3', 'MnRu', 'AsPRu', 'RuRh4', 'Cr3Ru', 'Cd4RuN4', 'IrRu', 'Na3RuO4', 'Ce3Ru', 'Li7RuO6', 'Pr2Ge2Ru', 'Zn6Ru', 'Mg3Ru', 'AsRu', 'TiRu', 'Sc2Si2Ru', 'La3RuI3', 'Nd4Ru', 'ThRu', 'Pr3Ru', 'Nd2Ge2Ru', 'Er3RuI3', 'RuBr3', 'Pr3RuI3', 'Ru(N2Cl)3', 'In3Ru', 'AlRu', 'RuN2', 'ZrRu', 'Sn2Ru', 'RuF4', 'Cu3Ru', 'NbRu', 'Er2Ge2Ru', 'Al2Ru', 'Tl3Ru', 'NaRuO2', 'NdSi2Ru', 'Si3Ru', 'Lu3Ru', 'Be8Ru', 'Nd3RuO7', 'Al12Ru', 'Dy2Ge2Ru', 'PuRu', 'VRu', 'Ga3Ru', 'PdRu', 'Mg2Ru', 'P4Ru', 'Sm3Ru', 'Re3Ru', 'Ru', 'La4Ru', 'RuSe2', 'CoRu', 'CeSi2Ru', 'Te4Mo2Ru', 'RuPt', 'LaSi3Ru', 'Ho2Ge2Ru', 'Ag3Ru', 'La3Ru', 'K3RuF12', 'MoRu', 'Mg149Ru', 'V3Ru', 'Ti4Ru', 'PrSi2Ru', 'RuS2', 'Nb2Ru', 'Si2Ru', 'RuI']",Metal
Rh,Rhodium,1803,45,102.906,[Kr] 4d⁸5s¹,Rh-103,solid,1964.0,3567.2,2237.15,3695.0,12.41,Silvery-white,High,Hard,Low,2.28,7.459,3,3,134.0,Transition metal,Unknown,Stable,Unknown,Paramagnetic,+1.1×10⁻⁴ cm³/mol,White reflection,339.7 nm,Catalytic converters,Low solubility,Unknown,Fm-3m,13.782780337825384,"['As3Rh', 'Er3Rh', 'VRh', 'Hg2Rh', 'Ba4Rh', 'RhSe2', 'Zr3Rh', 'RhBr3', 'Bi3Rh', 'GdRh', 'RhS', 'Sm4Rh', 'Ag3Rh', 'RhI3', 'Sb3Rh', 'SbRh', 'Dy3Rh', 'Yb4Rh', 'Tc3Rh', 'Te2Rh', 'Sn2Rh', 'Bi4Rh', 'Ge4Rh', 'HoRh', 'Ca2Rh', 'RhO3', 'Re3Rh', 'Pu4Rh', 'As2Rh', 'Mg3Rh', 'HRh', 'Tm4Rh', 'Cu3Rh', 'LiRh', 'RhPb2', 'Ge3Rh', 'PdRh', 'In3Rh', 'Pd3Rh', 'RhS2', 'ScRh', 'RuRh', 'SnRh', 'Zn13Rh', 'RhF6', 'Ho4Rh', 'InRh', 'K3Rh', 'IrRh', 'MoRh', 'YbRh', 'Sr4Rh', 'Fe3Rh', 'CrRh', 'RhF3', 'Be3Rh', 'Zn3Rh', 'HfRh', 'SmRh', 'AgRh', 'Sm3Rh', 'Mg149Rh', 'Ca5Rh', 'Dy4Rh', 'RhC', 'Ni3Rh', 'CuRh', 'V3Rh', 'Cr3Rh', 'TcRh', 'CeRh', 'NiRh', 'AlRh', 'ThRh', 'RhN2', 'Bi2Rh', 'MgRh', 'NbRh', 'Er4Rh', 'Ir3Rh', 'Sn3Rh', 'YRh', 'Sr2Rh', 'Y4Rh', 'RhCl2', 'SiRh', 'Co3Rh', 'ZnRh', 'AsRh', 'FeRh', 'Nd4Rh', 'RhI2', 'RhN3', 'MnRh', 'RhSe', 'Na3Rh', 'Ca4Rh', 'Hg3Rh', 'La4Rh', 'Tb4Rh', 'Rh', 'Tb3Rh', 'Pr4Rh', 'Ga3Rh', 'RhBr', 'RhPb', 'Sb2Rh', 'PtRh', 'DyRh', 'Pt3Rh', 'LuRh', 'Rb3Rh', 'Li3Rh', 'BeRh', 'GaRh', 'Y3Rh', 'Mg2Rh', 'P3Rh', 'Mn3Rh', 'RhN', 'Eu3Rh', 'TbRh', 'Th3Rh', 'Nb3Rh', 'ZrRh', 'Hf2Rh', 'RhCl3', 'Ti2Rh', 'P2Rh', 'RhF5', 'Ru3Rh', 'Sn4Rh', 'RhI', 'TeRh', 'BiRh', 'ErRh', 'GeRh', 'TmRh', 'LaRh', 'Zr2Rh', 'Lu4Rh', 'RhO2', 'CoRh', 'BRh', 'TiRh']",Metal
Pd,Palladium,1803,46,106.42,[Kr] 4d¹⁰,Pd-106;Pd-108,solid,1555.0,2831,1828.15,2963.0,12.023,Silvery-white,Very high,Malleable,Low,2.2,8.337,"2,4",+2;+4,137.0,Transition metal,Low (Pd-107),Stable,Pd-107: 6.5×10⁶ years,Paramagnetic,+5.2×10⁻⁴ cm³/mol,Green,340.5 nm,"Hydrogen storage, catalysts",Absorbs H₂,Unknown,Fm-3m,15.02799459406926,"['PdN2', 'Ti2Pd', 'GaPd', 'Be3Pd', 'SbPd', 'MnPd', 'LaPd', 'PdBr2', 'HPd', 'Ba2Pd', 'ScPd', 'TaPd', 'NbPd', 'Rb3Pd', 'As2Pd', 'SiPd', 'CoPd', 'Al2Pd', 'Fe3Pd', 'HoPd', 'Fe2Pd', 'PdRh', 'TbPd', 'K2Pd', 'Sm3Pd', 'PdPb3', 'Ba4Pd', 'PdF2', 'Sr2Pd', 'LiPd', 'In3Pd', 'PdC', 'TiPd', 'TePd', 'AgPd', 'Te2Pd', 'PdN', 'PdSe', 'Tl2Pd', 'Ca3Pd', 'HgPd', 'CaPd', 'ZrPd', 'PdS3', 'Ti3Pd', 'PdPb2', 'Pd', 'Ge3Pd', 'Yb3Pd', 'Zn3Pd', 'Hf2Pd', 'Pm3Pd', 'PuPd', 'Re3Pd', 'PdPt3', 'V3Pd', 'YbPd', 'Sr4Pd', 'PdI2', 'Be5Pd', 'CrPd', 'TmPd', 'Th2Pd', 'Rb2Pd', 'Mo3Pd', 'Ga5Pd', 'Zr2Pd', 'Ca4Pd', 'FePd', 'Be12Pd', 'AlPd', 'PdPb', 'HfPd', 'Zn2Pd', 'ThPd', 'Sn2Pd', 'Mg5Pd', 'PdW', 'Hg3Pd', 'Mg149Pd', 'PdPt', 'P2Pd', 'P3Pd', 'Cd3Pd', 'PdF4', 'Ta3Pd', 'PdO2', 'Mg3Pd', 'IrPd', 'MgPd', 'GePd', 'BePd', 'PdF3', 'BaPd', 'Mg2Pd', 'Sb2Pd', 'Li2Pd', 'PdO', 'PdRu', 'Al3Pd', 'ZnPd', 'MoPd', 'LuPd', 'PdAu', 'Cu3Pd', 'Ti4Pd', 'Y3Pd', 'Sc2Pd', 'Eu4Pd', 'Na3Pd', 'CuPd', 'K3Pd', 'PdSe2', 'SnPd', 'Bi2Pd', 'Ag3Pd', 'Co2Pd', 'Zr4Pd', 'Nd3Pd', 'Eu3Pd', 'PdCl2', 'BiPd', 'Li3Pd', 'NiPd', 'PdAu3', 'ErPd', 'DyPd', 'InPd', 'PdS2', 'Tc3Pd', 'Pr3Pd', 'CdPd']",Metal
Ag,Silver,Ancient,47,107.868,[Kr] 4d¹⁰5s¹,Ag-107;Ag-109,solid,961.78,1763.204,1234.93,2162.0,10.49,Silvery-white,Highest (metal),Malleable/ductile,Low,1.93,7.576,1,1,153.0,Transition metal,Low (Ag-108m),Stable,Unknown,Diamagnetic,-2.3×10⁻⁵ cm³/mol,Green flame,328.1 nm,"Photography, coins",Tarnishes (Ag₂S),Unknown,P6_3/mmc,69.45695019121693,"['AgCl', 'AgI', 'AgBrO2', 'LiAg', 'Nd3Ag', 'SrAg', 'Ga3Ag', 'MgAg', 'AgO2', 'Al3Ag', 'AgTe3', 'Hf3Ag', 'ScAg', 'AgTe', 'Tl3Ag', 'Li2AgF5', 'AgSn3', 'AgP15', 'AgPt4', 'AgHg', 'AgN3', 'HoAg', 'AgGe3', 'AgSe5', 'AgI2', 'Gd3Ag', 'V3Ag', 'HfAg', 'Fe3Ag', 'YbAg', 'AgN', 'In3Ag', 'AgPt3', 'TiAg', 'La3Ag', 'Be2Ag', 'AgAs', 'Zn3Ag', 'FeAg', 'AlAg', 'YAgSe2', 'Zn2Ag', 'Cd3Ag', 'CeAg', 'AgPd', 'SmAg', 'Tb3Ag', 'AgF3', 'EuAg', 'AgAu3', 'Li3AgF4', 'Si3Ag', 'AgRh', 'PrAg', 'Zr2Ag', 'Ac3Ag', 'AgSe', 'CaAg', 'AgPb3', 'Ti3Ag', 'K3Ag', 'Ni3Ag', 'Eu3Ag', 'AgBr', 'AgClO2', 'NdAg', 'AgSbO3', 'ZnAg', 'Rb3Ag', 'Li3Ag', 'YAg', 'ErAg', 'DyAg', 'Th2Ag', 'AgH', 'AgC6', 'AgP2', 'Pm3Ag', 'AgPt', 'Sm3Ag', 'Zn4AgN3', 'Zr3Ag', 'Mg2Ag', 'AgF2', 'Ti2Ag', 'AgHg3', 'K2Ag', 'Mg149Ag', 'AcAg', 'GaAg', 'AgAu', 'TmAg', 'BaAg', 'In2Ag', 'AgIr', 'TbAg', 'Ag', 'GdAg', 'CdAg', 'AgO', 'Na4Ag', 'LaAg', 'AgB2', 'AgC', 'Hf2Ag', 'Mg3Ag', 'Sr3Ag', 'AgF', 'Ce3Ag', 'Mg5Ag', 'Na3Ag', 'Pr3Ag', 'Cu3Ag', 'Ca3Ag', 'Be12Ag', 'InAg', 'Yb3Ag', 'ZrAg']",Metal
Cd,Cadmium,1817,48,112.414,[Kr] 4d¹⁰5s²,Cd-112;Cd-114,solid,321.07,609.926,594.22,767.0,8.65,Silvery-blue,High,Soft/malleable,Moderate,1.69,8.994,2,2,151.0,Post-transition metal,Low (Cd-113),Stable,Unknown,Diamagnetic,-2.0×10⁻⁵ cm³/mol,Green,326.1 nm,Toxic; batteries,Bioaccumulates,Unknown,P6_3/mmc,44.61503857901331,"['Ti2Cd', 'CdPb3', 'CdGe3', 'K3Cd', 'Mg2Cd', 'UCd', 'CdH', 'Hf2Cd', 'Rb3Cd', 'CdHg3', 'Mg5Cd', 'Li3Cd', 'CdPd3', 'CdAu3', 'CdI2', 'CdAu', 'Mg3Cd', 'CeCd', 'Zr3Cd', 'Th3Cd', 'Tl3Cd', 'CdSe', 'TiCd', 'Pr3Cd', 'ZrCd', 'CdAg', 'Na3Cd', 'Ac3Cd', 'Zr2Cd', 'Np3Cd', 'Ba2Cd', 'Sm3Cd', 'MgCd', 'CdPt', 'CdSn3', 'CdP4', 'Cd', 'CdBr2', 'CdS', 'Zn3Cd', 'CdBi3', 'CdO', 'CdHg2', 'CdCl2', 'HfCd', 'CdPt3', 'Ce3Cd', 'Pm3Cd', 'CdO2', 'CdTe', 'Nd3Cd', 'CdPd', 'CdAg3']",Metal
In,Indium,1863,49,114.818,[Kr] 4d¹⁰5s²5p¹,In-115;In-113,solid,156.6,313.88,429.75,2072.0,7.31,Silvery-white,High,Soft,Moderate,1.78,5.786,3,3,166.0,Post-transition metal,Low (In-115),In-115: 4.41×10¹⁴ years,Unknown,Diamagnetic,-1.4×10⁻⁵ cm³/mol,Blue,451.1 nm,"Solders, screens",Low solubility,Unknown,Fm-3m,26.392514730548744,"['InCu', 'Er3In', 'InS2', 'InBi', 'InAu3', 'SmIn', 'Li3In', 'Dy3In', 'InP3', 'Mg2In', 'InP', 'YIn', 'InN', 'Rb3In', 'InTc3', 'InRu3', 'K3In', 'InHg', 'Sc3In', 'Np3In', 'Mg5In', 'InSn3', 'Nb3In', 'Ac3In', 'Zr3In', 'CdIn', 'Mg149In', 'TlIn', 'InCl', 'DyIn', 'TiIn', 'Nd2In', 'InRh', 'Er2In', 'Ti3In', 'InCu2', 'Tb3In', 'InPt', 'InAg4', 'Tm3In', 'Ce3In', 'ScIn', 'InPb', 'InHg3', 'Ce2In', 'Y2In', 'InC', 'InCu3', 'InSb', 'ThIn', 'InCl3', 'InC3', 'Sm3In', 'InGa3', 'Y3In', 'Sc2In', 'PuIn', 'In', 'La3In', 'Ho3In', 'InBr3', 'InF3', 'InC6', 'InPt2', 'NdIn', 'GdIn', 'InNi', 'InAs', 'Tm2In', 'PrIn', 'InN3', 'InH', 'LuIn', 'InAg3', 'Na3In', 'InRh3', 'La2In', 'InPt3', 'InNi2', 'Tl3In', 'Pu3In', 'Th3In', 'Mn3In', 'InGe3', 'CaIn', 'HoIn', 'Mg3In', 'InS', 'Gd3In', 'Na2In', 'InI3', 'ZrIn', 'InSb3', 'Nd3In', 'Gd2In', 'Lu3In', 'Tb2In', 'Ti2In', 'InNi3', 'LaIn', 'InTe', 'InSe', 'TmIn', 'Dy2In', 'U3In', 'YbIn', 'Ho2In', 'EuIn', 'Pr2In', 'Cd3In', 'Th2In', 'Lu2In', 'InSe2', 'Sm2In', 'MgIn', 'Ca3In', 'ErIn', 'Zn3In', 'Eu3In', 'InBi3', 'InAg', 'InPd3', 'InO', 'InPd', 'Pr3In']",Metal
